STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/1/22,46,52,44
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/2/22,45,46,33
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/3/22,29,33,21
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/4/22,23,31,17
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/5/22,37,51,27
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/6/22,40,43,32
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/7/22,31,33,23
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/8/22,24,28,17
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/9/22,31,43,21
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/10/22,33,40,22
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/11/22,16,22,8
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/12/22,22,42,10
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/13/22,36,46,29
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/14/22,37,41,15
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/15/22,13,15,4
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/16/22,13,35,5
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/17/22,39,49,35
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/18/22,31,36,21
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/19/22,30,46,20
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/20/22,37,41,19
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/21/22,18,22,9
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/22/22,18,26,13
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/23/22,25,35,19
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/24/22,28,30,23
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/25/22,33,41,28
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/26/22,25,28,12
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/27/22,17,27,9
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/28/22,29,36,25
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/29/22,23,29,12
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/30/22,15,23,10
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/31/22,21,31,14
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/1/22,26,35,18
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/2/22,35,42,31
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/3/22,40,47,35
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/4/22,34,40,22
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/5/22,22,24,15
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/6/22,18,27,10
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/7/22,29,41,22
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/8/22,39,42,35
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/9/22,36,43,30
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/10/22,39,51,30
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/11/22,42,52,31
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/12/22,49,60,39
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/13/22,34,39,25
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/14/22,22,25,14
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/15/22,17,27,11
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/16/22,28,47,17
